timestamp,open,high,low,close,volume
2020-05-18 16:00:00,316.1700,316.3400,314.7600,314.9700,1116756
2020-05-18 15:55:00,316.1100,316.5000,315.2800,316.1600,611790
2020-05-18 15:50:00,316.2200,316.4000,315.8901,316.0971,513639
2020-05-18 15:45:00,315.8250,316.2500,315.7200,316.2000,473199
2020-05-18 15:40:00,315.5200,315.9500,315.3000,315.8317,405750
2020-05-18 15:35:00,315.0271,315.6400,315.0200,315.4600,374945
2020-05-18 15:30:00,315.0500,315.1800,314.8610,315.0350,254335
2020-05-18 15:25:00,314.3900,315.0720,314.3600,315.0550,293094
2020-05-18 15:20:00,314.4400,314.4800,314.0800,314.4050,261473
2020-05-18 15:15:00,314.9210,314.9210,314.0329,314.4200,326545
2020-05-18 15:10:00,315.0700,315.1200,314.7700,314.9301,187849
2020-05-18 15:05:00,314.9300,315.2500,314.8000,315.0647,221164
2020-05-18 15:00:00,314.9300,315.1800,314.8400,314.9200,206684
2020-05-18 14:55:00,314.5576,314.9800,314.4700,314.9300,244217
2020-05-18 14:50:00,315.0700,315.1200,314.6600,314.7600,174818
2020-05-18 14:45:00,314.7300,315.2000,314.6900,315.0700,207207
2020-05-18 14:40:00,314.7700,314.8900,314.5100,314.7325,173077
2020-05-18 14:35:00,314.9600,315.1500,314.6400,314.7401,177621
2020-05-18 14:30:00,314.7600,315.1100,314.5350,314.9750,202771
2020-05-18 14:25:00,315.2100,315.3600,314.7500,314.7528,210686
2020-05-18 14:20:00,315.4300,315.5400,315.1000,315.2300,158317
2020-05-18 14:15:00,315.1800,315.5200,315.0200,315.4343,161549
2020-05-18 14:10:00,315.6800,315.7400,315.0600,315.1700,161809
2020-05-18 14:05:00,315.3900,315.7100,315.2900,315.6700,170515
2020-05-18 14:00:00,315.4999,315.6200,315.2200,315.3700,150146
2020-05-18 13:55:00,315.6000,315.7300,315.1550,315.4950,226784
2020-05-18 13:50:00,315.0600,315.7600,315.0300,315.6000,286575
2020-05-18 13:45:00,315.8501,315.9607,315.0000,315.0390,346666
2020-05-18 13:40:00,315.7150,316.1000,315.6600,315.8550,220857
2020-05-18 13:35:00,316.1700,316.1900,315.7100,315.7100,242968
2020-05-18 13:30:00,315.9200,316.2000,315.7800,316.1900,326701
2020-05-18 13:25:00,315.8400,315.9900,315.6950,315.9300,207668
2020-05-18 13:20:00,315.4800,315.9100,315.3400,315.8400,262187
2020-05-18 13:15:00,315.3500,315.4900,315.1900,315.4700,185842
2020-05-18 13:10:00,315.1342,315.4300,315.0450,315.3474,262484
2020-05-18 13:05:00,314.8900,315.2100,314.7700,315.1470,446470
2020-05-18 13:00:00,314.7137,315.0000,314.6800,314.8779,208374
2020-05-18 12:55:00,314.7200,314.8900,314.6200,314.7200,201812
2020-05-18 12:50:00,314.3300,314.7200,314.1900,314.7180,192898
2020-05-18 12:45:00,314.9001,314.9700,314.1316,314.3200,294714
2020-05-18 12:40:00,314.5950,314.9400,314.5200,314.8929,211031
2020-05-18 12:35:00,314.7900,314.8300,314.5300,314.6000,174079
2020-05-18 12:30:00,314.5400,314.8100,314.4300,314.7753,265594
2020-05-18 12:25:00,314.1100,314.5800,314.1100,314.5259,211100
2020-05-18 12:20:00,314.3800,314.6800,314.0300,314.1000,333311
2020-05-18 12:15:00,313.9800,314.4600,313.8800,314.3500,225020
2020-05-18 12:10:00,313.8900,314.2300,313.7500,314.0042,256343
2020-05-18 12:05:00,313.9700,314.4200,313.7500,313.8850,313718
2020-05-18 12:00:00,313.6007,314.0200,313.5900,313.9800,188932
2020-05-18 11:55:00,313.9200,314.0800,313.3200,313.6100,217790
2020-05-18 11:50:00,313.8800,314.0000,313.5600,313.9300,182495
2020-05-18 11:45:00,313.7800,314.0700,313.7400,313.8800,226746
2020-05-18 11:40:00,313.9000,314.0700,313.6501,313.8000,230486
2020-05-18 11:35:00,313.6350,313.9600,313.3800,313.8600,278556
2020-05-18 11:30:00,313.9490,314.1400,313.5300,313.6000,278601
2020-05-18 11:25:00,313.8300,314.0600,313.6101,313.9500,267319
2020-05-18 11:20:00,313.4100,313.8800,313.4100,313.8328,231562
2020-05-18 11:15:00,313.7300,313.8000,313.1400,313.4199,299630
2020-05-18 11:10:00,313.9400,314.0500,313.6600,313.7300,331368
2020-05-18 11:05:00,313.6300,313.9500,313.4300,313.9200,305796
2020-05-18 11:00:00,313.3700,313.7401,313.2800,313.6400,242880
2020-05-18 10:55:00,313.3000,313.6800,313.2987,313.3671,314590
2020-05-18 10:50:00,313.2300,313.4000,312.7200,313.2600,252503
2020-05-18 10:45:00,312.9000,313.3800,312.8000,313.2322,278066
2020-05-18 10:40:00,312.6900,312.9900,312.0701,312.9000,286973
2020-05-18 10:35:00,312.5800,313.0000,312.3646,312.6700,304622
2020-05-18 10:30:00,313.3900,313.5100,312.5200,312.5900,346915
2020-05-18 10:25:00,313.0800,313.8100,312.8700,313.3500,676169
2020-05-18 10:20:00,312.0600,313.0900,311.9700,313.0700,503599
2020-05-18 10:15:00,312.3000,312.4200,311.4100,312.0400,337419
2020-05-18 10:10:00,312.4900,312.5800,311.8400,312.3100,328895
2020-05-18 10:05:00,312.4440,312.6200,312.0800,312.4850,511759
