timestamp,position,quantity,open price,close price,P/L,status
2021-02-22 08:04:00.067463,SHORT,10000.0,1.21076,1.2118,-0.0010399999999999299,LOSS
2021-02-22 09:07:00.108070,SHORT,10000.0,1.20979,1.21062,-0.0008300000000001084,LOSS
2021-02-22 10:05:00.084884,SHORT,10000.0,1.2107,1.2117,-0.0009999999999998899,LOSS
2021-02-22 11:25:00.137812,SHORT,10000.0,1.21272,1.21353,-0.0008099999999999774,LOSS
2021-02-22 13:37:00.393096,SHORT,10000.0,1.21344,1.2143,-0.0008599999999998609,LOSS
2021-02-22 15:15:00.436841,SHORT,10000.0,1.21467,1.21544,-0.0007700000000001594,LOSS
2021-02-22 16:08:00.679017,SHORT,10000.0,1.21371,1.21456,-0.0008500000000000174,LOSS
2021-02-22 17:07:00.719779,SHORT,10000.0,1.2152,1.2159,-0.0006999999999999229,LOSS
2021-02-22 21:14:00.132624,SHORT,10000.0,1.21633,1.21557,0.0007599999999998719,PROFIT
2021-02-22 22:02:00.081331,SHORT,10000.0,1.21541,1.21586,-0.0004499999999998394,LOSS
2021-02-22 23:11:00.081590,SHORT,10000.0,1.2158,1.21671,-0.0009099999999999664,LOSS
2021-02-23 00:00:11.464494,SHORT,10000.0,1.21618,1.21665,-0.00046999999999997044,LOSS
