timestamp,open,high,low,close
2021-04-02 08:25:00,9.4532,9.4599,9.4522,9.4528
2021-04-02 08:20:00,9.4532,9.4605,9.4465,9.4544
2021-04-02 08:15:00,9.4623,9.4678,9.4477,9.4597
2021-04-02 08:10:00,9.4681,9.4710,9.4616,9.4670
2021-04-02 08:05:00,9.4684,9.4769,9.4598,9.4681
2021-04-02 08:00:00,9.4749,9.4826,9.4595,9.4751
2021-04-02 07:55:00,9.4742,9.4852,9.4601,9.4709
2021-04-02 07:50:00,9.4824,9.4882,9.4703,9.4747
2021-04-02 07:45:00,9.4549,9.4822,9.4511,9.4819
2021-04-02 07:40:00,9.4526,9.4620,9.4433,9.4549
2021-04-02 07:35:00,9.4415,9.4673,9.4415,9.4495
2021-04-02 07:30:00,9.4199,9.4539,9.4169,9.4439
2021-04-02 07:25:00,9.4139,9.4387,9.4073,9.4199
2021-04-02 07:20:00,9.4389,9.4568,9.3999,9.4134
2021-04-02 07:15:00,9.4634,9.4716,9.4278,9.4389
2021-04-02 07:10:00,9.4831,9.4940,9.4532,9.4717
2021-04-02 07:05:00,9.4644,9.4946,9.4489,9.4896
2021-04-02 07:00:00,9.4975,9.5089,9.4493,9.4644
2021-04-02 06:55:00,9.4891,9.5088,9.4609,9.5088
2021-04-02 06:50:00,9.4886,9.5021,9.4772,9.5021
2021-04-02 06:45:00,9.5030,9.5128,9.4828,9.4876
2021-04-02 06:40:00,9.4963,9.5134,9.4738,9.5000
2021-04-02 06:35:00,9.4877,9.5131,9.4738,9.5012
2021-04-02 06:30:00,9.5158,9.5342,9.4848,9.4861
2021-04-02 06:25:00,9.5417,9.5586,9.4855,9.5158
2021-04-02 06:20:00,9.5526,9.5703,9.5310,9.5388
2021-04-02 06:15:00,9.5589,9.5704,9.5320,9.5557
2021-04-02 06:10:00,9.5554,9.5695,9.5320,9.5589
2021-04-02 06:05:00,9.5639,9.5722,9.5395,9.5461
2021-04-02 06:00:00,9.5671,9.5722,9.5329,9.5583
2021-04-02 05:55:00,9.5610,9.5715,9.5351,9.5603
2021-04-02 05:50:00,9.5617,9.5720,9.5333,9.5687
2021-04-02 05:45:00,9.5390,9.5716,9.5303,9.5694
2021-04-02 05:40:00,9.5620,9.5721,9.5331,9.5390
2021-04-02 05:35:00,9.5609,9.5725,9.5311,9.5620
2021-04-02 05:30:00,9.5727,9.5735,9.5326,9.5370
2021-04-02 05:25:00,9.5683,9.5750,9.5524,9.5640
2021-04-02 05:20:00,9.5672,9.5748,9.5483,9.5657
2021-04-02 05:15:00,9.5643,9.5734,9.5404,9.5638
2021-04-02 05:10:00,9.5681,9.5741,9.5512,9.5541
2021-04-02 05:05:00,9.5704,9.5737,9.5547,9.5658
2021-04-02 05:00:00,9.5706,9.5735,9.5506,9.5640
2021-04-02 04:55:00,9.5634,9.5732,9.5489,9.5706
2021-04-02 04:50:00,9.5692,9.5726,9.5418,9.5695
2021-04-02 04:45:00,9.5696,9.5723,9.5509,9.5531
2021-04-02 04:40:00,9.5694,9.5732,9.5437,9.5533
2021-04-02 04:35:00,9.5689,9.5726,9.5498,9.5694
2021-04-02 04:30:00,9.5530,9.5722,9.5360,9.5689
2021-04-02 04:25:00,9.5689,9.5725,9.5527,9.5530
2021-04-02 04:20:00,9.5696,9.5729,9.5528,9.5529
2021-04-02 04:15:00,9.5703,9.5735,9.5499,9.5697
2021-04-02 04:10:00,9.5717,9.5741,9.5530,9.5705
2021-04-02 04:05:00,9.5653,9.5743,9.5534,9.5555
2021-04-02 04:00:00,9.5658,9.5744,9.5530,9.5715
2021-04-02 03:55:00,9.5712,9.5746,9.5520,9.5716
2021-04-02 03:50:00,9.5707,9.5744,9.5378,9.5654
2021-04-02 03:45:00,9.5736,9.5748,9.5378,9.5707
2021-04-02 03:40:00,9.5560,9.5741,9.5382,9.5708
2021-04-02 03:35:00,9.5687,9.5750,9.5378,9.5676
2021-04-02 03:30:00,9.5722,9.5755,9.5382,9.5714
2021-04-02 03:25:00,9.5681,9.5751,9.5379,9.5685
2021-04-02 03:20:00,9.5667,9.5742,9.5454,9.5737
2021-04-02 03:15:00,9.5700,9.5735,9.5359,9.5666
2021-04-02 03:10:00,9.5703,9.5732,9.5461,9.5700
2021-04-02 03:05:00,9.5714,9.5731,9.5369,9.5543
2021-04-02 03:00:00,9.5659,9.5732,9.5358,9.5712
2021-04-02 02:55:00,9.5618,9.5717,9.5470,9.5632
2021-04-02 02:50:00,9.5598,9.5718,9.5431,9.5618
2021-04-02 02:45:00,9.5446,9.5705,9.5438,9.5598
2021-04-02 02:40:00,9.5587,9.5713,9.5425,9.5446
2021-04-02 02:35:00,9.5587,9.5687,9.5418,9.5425
2021-04-02 02:30:00,9.5582,9.5692,9.5425,9.5587
2021-04-02 02:25:00,9.5417,9.5691,9.5414,9.5582
2021-04-02 02:20:00,9.5585,9.5688,9.5417,9.5683
2021-04-02 02:15:00,9.5581,9.5687,9.5417,9.5584
2021-04-02 02:10:00,9.5579,9.5691,9.5460,9.5581
2021-04-02 02:05:00,9.5524,9.5682,9.5418,9.5578
2021-04-02 02:00:00,9.5572,9.5684,9.5448,9.5448
2021-04-02 01:55:00,9.5424,9.5674,9.5423,9.5572
2021-04-02 01:50:00,9.5661,9.5680,9.5424,9.5570
2021-04-02 01:45:00,9.5675,9.5678,9.5376,9.5563
2021-04-02 01:40:00,9.5470,9.5684,9.5325,9.5537
2021-04-02 01:35:00,9.5673,9.5688,9.5328,9.5680
2021-04-02 01:30:00,9.5617,9.5698,9.5328,9.5674
2021-04-02 01:25:00,9.5613,9.5705,9.5322,9.5685
2021-04-02 01:20:00,9.5679,9.5695,9.5358,9.5482
2021-04-02 01:15:00,9.5676,9.5695,9.5344,9.5484
2021-04-02 01:10:00,9.5610,9.5687,9.5336,9.5608
2021-04-02 01:05:00,9.5629,9.5691,9.5322,9.5690
2021-04-02 01:00:00,9.5622,9.5690,9.5340,9.5579
2021-04-02 00:55:00,9.5410,9.5780,9.5410,9.5577
2021-04-02 00:50:00,9.5600,9.5784,9.5410,9.5410
2021-04-02 00:45:00,9.5436,9.5787,9.5410,9.5600
2021-04-02 00:40:00,9.5620,9.5790,9.5436,9.5436
2021-04-02 00:35:00,9.5655,9.5816,9.5436,9.5620
2021-04-02 00:30:00,9.5705,9.5844,9.5455,9.5655
2021-04-02 00:25:00,9.5416,9.5844,9.5416,9.5674
2021-04-02 00:20:00,9.5666,9.5840,9.5416,9.5416
2021-04-02 00:15:00,9.5685,9.5857,9.5440,9.5603
2021-04-02 00:10:00,9.5501,9.5869,9.5483,9.5686
2021-04-02 00:05:00,9.5664,9.5838,9.5447,9.5681
2021-04-02 00:00:00,9.5659,9.5819,9.5436,9.5614
2021-04-01 23:55:00,9.5478,9.5815,9.5438,9.5477
2021-04-01 23:50:00,9.5534,9.5818,9.5472,9.5610
2021-04-01 23:45:00,9.5533,9.5842,9.5507,9.5534
2021-04-01 23:40:00,9.5561,9.5848,9.5533,9.5719
2021-04-01 23:35:00,9.5552,9.5844,9.5529,9.5561
2021-04-01 23:30:00,9.5565,9.5844,9.5519,9.5552
2021-04-01 23:25:00,9.5584,9.5852,9.5520,9.5565
2021-04-01 23:20:00,9.5678,9.5849,9.5528,9.5714
2021-04-01 23:15:00,9.5718,9.5856,9.5450,9.5586
2021-04-01 23:10:00,9.5595,9.5860,9.5390,9.5595
2021-04-01 23:05:00,9.5578,9.5868,9.5484,9.5595
2021-04-01 23:00:00,9.5497,9.5877,9.5483,9.5867
2021-04-01 22:55:00,9.5500,9.5885,9.5253,9.5497
2021-04-01 22:50:00,9.5570,9.5871,9.5324,9.5500
2021-04-01 22:45:00,9.5488,9.5859,9.5458,9.5859
2021-04-01 22:40:00,9.5476,9.5860,9.5451,9.5858
2021-04-01 22:35:00,9.5795,9.5867,9.5195,9.5859
2021-04-01 22:30:00,9.5494,9.5866,9.5475,9.5498
2021-04-01 22:25:00,9.5491,9.5862,9.5476,9.5537
2021-04-01 22:20:00,9.5703,9.5862,9.5473,9.5491
2021-04-01 22:15:00,9.5480,9.5862,9.5473,9.5701
2021-04-01 22:10:00,9.5487,9.5860,9.5464,9.5480
2021-04-01 22:05:00,9.5780,9.5868,9.5179,9.5633
2021-04-01 22:00:00,9.5450,9.5836,9.5424,9.5584
2021-04-01 21:55:00,9.5691,9.5696,9.5110,9.5450
2021-04-01 21:50:00,9.5407,9.5851,9.5302,9.5435
2021-04-01 21:45:00,9.5403,9.5837,9.5180,9.5564
2021-04-01 21:40:00,9.5399,9.5833,9.5346,9.5403
2021-04-01 21:35:00,9.5397,9.5832,9.5386,9.5828
2021-04-01 21:30:00,9.5386,9.5829,9.5383,9.5559
2021-04-01 21:25:00,9.5675,9.5832,9.5269,9.5384
2021-04-01 21:20:00,9.5772,9.5830,9.5386,9.5411
2021-04-01 21:15:00,9.5412,9.5776,9.5376,9.5414
2021-04-01 21:10:00,9.5567,9.5836,9.5353,9.5412
2021-04-01 21:05:00,9.5805,9.5842,9.5327,9.5396
2021-04-01 21:00:00,9.5837,9.6031,9.5409,9.5452
2021-04-01 20:55:00,9.5710,9.6025,9.5370,9.5541
2021-04-01 20:50:00,9.5661,9.6017,9.5328,9.5564
2021-04-01 20:45:00,9.5546,9.6010,9.5327,9.5553
2021-04-01 20:40:00,9.5538,9.6009,9.5361,9.5548
2021-04-01 20:35:00,9.5612,9.6003,9.5350,9.5544
2021-04-01 20:30:00,9.5581,9.5999,9.5318,9.5589
2021-04-01 20:25:00,9.5576,9.5996,9.5288,9.5565
2021-04-01 20:20:00,9.5640,9.6001,9.5313,9.5610
2021-04-01 20:15:00,9.5641,9.6014,9.5316,9.5622
2021-04-01 20:10:00,9.5663,9.6022,9.5348,9.5655
2021-04-01 20:05:00,9.5790,9.6021,9.5347,9.5657
2021-04-01 20:00:00,9.5811,9.6023,9.5434,9.5555
2021-04-01 19:55:00,9.5990,9.6010,9.5364,9.5538
2021-04-01 19:50:00,9.5787,9.5995,9.5333,9.5991
2021-04-01 19:45:00,9.5525,9.5986,9.5387,9.5525
2021-04-01 19:40:00,9.5525,9.5979,9.5525,9.5525
2021-04-01 19:35:00,9.5686,9.5971,9.5382,9.5525
2021-04-01 19:30:00,9.5787,9.5968,9.5346,9.5687
2021-04-01 19:25:00,9.5686,9.5978,9.5402,9.5787
2021-04-01 19:20:00,9.5681,9.5987,9.5323,9.5686
2021-04-01 19:15:00,9.5617,9.5974,9.5358,9.5525
2021-04-01 19:10:00,9.5738,9.5977,9.5472,9.5696
2021-04-01 19:05:00,9.5692,9.5980,9.5348,9.5783
2021-04-01 19:00:00,9.5663,9.5982,9.5498,9.5694
2021-04-01 18:55:00,9.5731,9.5969,9.5498,9.5498
2021-04-01 18:50:00,9.5661,9.5965,9.5377,9.5963
2021-04-01 18:45:00,9.5652,9.5966,9.5297,9.5964
2021-04-01 18:40:00,9.5714,9.5959,9.5379,9.5651
2021-04-01 18:35:00,9.5564,9.5964,9.5326,9.5553
2021-04-01 18:30:00,9.5613,9.5971,9.5312,9.5587
2021-04-01 18:25:00,9.5614,9.5955,9.5388,9.5546
2021-04-01 18:20:00,9.5625,9.5974,9.5325,9.5502
2021-04-01 18:15:00,9.5655,9.5985,9.5293,9.5625
2021-04-01 18:10:00,9.5662,9.5998,9.5348,9.5671
2021-04-01 18:05:00,9.5686,9.5999,9.5351,9.5400
2021-04-01 18:00:00,9.5683,9.5999,9.5353,9.5692
2021-04-01 17:55:00,9.5394,9.6004,9.5320,9.5667
2021-04-01 17:50:00,9.5746,9.6016,9.5377,9.5706
2021-04-01 17:45:00,9.5846,9.6014,9.5377,9.5775
2021-04-01 17:40:00,9.5863,9.6023,9.5459,9.5847
2021-04-01 17:35:00,9.5746,9.6036,9.5405,9.5858
2021-04-01 17:30:00,9.5741,9.6028,9.5383,9.5630
2021-04-01 17:25:00,9.5732,9.6011,9.5351,9.5741
2021-04-01 17:20:00,9.5704,9.6004,9.5373,9.5791
2021-04-01 17:15:00,9.5729,9.6010,9.5447,9.5703
2021-04-01 17:10:00,9.5707,9.6005,9.5381,9.5730
2021-04-01 17:05:00,9.5824,9.6047,9.5447,9.5707
2021-04-01 17:00:00,9.5719,9.5843,9.5356,9.5811
2021-04-01 16:55:00,9.5748,9.5810,9.5363,9.5797
2021-04-01 16:50:00,9.5799,9.5852,9.5363,9.5749
2021-04-01 16:45:00,9.5801,9.5861,9.5586,9.5780
2021-04-01 16:40:00,9.5835,9.5892,9.5579,9.5801
2021-04-01 16:35:00,9.5793,9.5840,9.5535,9.5835
2021-04-01 16:30:00,9.5779,9.5810,9.5512,9.5792
2021-04-01 16:25:00,9.5782,9.5870,9.5380,9.5777
2021-04-01 16:20:00,9.5966,9.6052,9.5374,9.5782
2021-04-01 16:15:00,9.6006,9.6018,9.5650,9.5915
2021-04-01 16:10:00,9.5913,9.6011,9.5534,9.6006
2021-04-01 16:05:00,9.5984,9.6045,9.5571,9.5913
2021-04-01 16:00:00,9.5838,9.6059,9.5398,9.5964
2021-04-01 15:55:00,9.5895,9.5971,9.5471,9.5838
2021-04-01 15:50:00,9.5851,9.5967,9.5481,9.5895
2021-04-01 15:45:00,9.5803,9.5891,9.5528,9.5851
2021-04-01 15:40:00,9.5804,9.5825,9.5551,9.5803
2021-04-01 15:35:00,9.5875,9.5922,9.5578,9.5804
2021-04-01 15:30:00,9.5893,9.5904,9.5588,9.5875
2021-04-01 15:25:00,9.5845,9.5928,9.5516,9.5893
2021-04-01 15:20:00,9.5889,9.5909,9.5616,9.5846
2021-04-01 15:15:00,9.5803,9.5933,9.5371,9.5889
2021-04-01 15:10:00,9.5766,9.5858,9.5341,9.5820
2021-04-01 15:05:00,9.5799,9.5838,9.5549,9.5755
2021-04-01 15:00:00,9.5913,9.5922,9.5618,9.5823
2021-04-01 14:55:00,9.5900,9.5945,9.5579,9.5913
2021-04-01 14:50:00,9.5834,9.6024,9.5548,9.5900
2021-04-01 14:45:00,9.5955,9.6008,9.5653,9.5862
2021-04-01 14:40:00,9.5961,9.6002,9.5726,9.5964
