timestamp,open,high,low,close
2021-02-11 00:40:00,104.6250,104.6290,104.6000,104.6180
2021-02-11 00:35:00,104.6250,104.6340,104.5800,104.6200
2021-02-11 00:30:00,104.6220,104.6310,104.5900,104.6300
2021-02-11 00:25:00,104.6170,104.6360,104.6000,104.6260
2021-02-11 00:20:00,104.6400,104.6450,104.5800,104.6090
2021-02-11 00:15:00,104.6200,104.6410,104.5900,104.6250
2021-02-11 00:10:00,104.6180,104.6360,104.5800,104.6270
2021-02-11 00:05:00,104.6180,104.6250,104.5800,104.6200
2021-02-11 00:00:00,104.6200,104.6300,104.5900,104.6100
2021-02-10 23:55:00,104.6200,104.6410,104.6000,104.6270
2021-02-10 23:50:00,104.6380,104.6390,104.6100,104.6300
2021-02-10 23:45:00,104.6290,104.6450,104.6000,104.6300
2021-02-10 23:40:00,104.6330,104.6440,104.6000,104.6300
2021-02-10 23:35:00,104.6280,104.6440,104.6000,104.6300
2021-02-10 23:30:00,104.6340,104.6410,104.6000,104.6300
2021-02-10 23:25:00,104.6350,104.6420,104.6100,104.6390
2021-02-10 23:20:00,104.6230,104.6410,104.6000,104.6300
2021-02-10 23:15:00,104.6220,104.6320,104.6000,104.6300
2021-02-10 23:10:00,104.6000,104.6300,104.5900,104.6250
2021-02-10 23:05:00,104.6120,104.6240,104.5800,104.6170
2021-02-10 23:00:00,104.6000,104.6210,104.5800,104.6050
2021-02-10 22:55:00,104.5900,104.6200,104.5900,104.6040
2021-02-10 22:50:00,104.6060,104.6200,104.5850,104.5950
2021-02-10 22:45:00,104.5980,104.6200,104.5830,104.5900
2021-02-10 22:40:00,104.5980,104.6200,104.5890,104.6030
2021-02-10 22:35:00,104.5920,104.6210,104.5700,104.5970
2021-02-10 22:30:00,104.6030,104.6300,104.5700,104.5930
2021-02-10 22:25:00,104.5860,104.6200,104.5600,104.5950
2021-02-10 22:20:00,104.5790,104.5970,104.5700,104.5780
2021-02-10 22:15:00,104.5700,104.5940,104.5700,104.5750
2021-02-10 22:10:00,104.5610,104.5930,104.5540,104.5720
